eggs 92-19,,
Current date: 07/21/2020 11:57 AM (Eastern Daylight Time),,
Country: World Total,,
Measures: Value ($US),,
Commodity,Time,Value ($US)
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",1992,"84,597,771"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",1993,"93,218,370"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",1994,"105,080,752"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",1995,"104,217,879"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",1996,"120,455,071"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",1997,"118,489,669"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",1998,"143,533,750"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",1999,"105,061,517"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2000,"108,337,187"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2001,"113,536,609"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2002,"111,289,906"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2003,"121,087,089"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2004,"153,362,201"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2005,"161,339,331"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2006,"166,412,987"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2007,"219,080,160"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2008,"206,267,667"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2009,"238,207,591"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2010,"246,649,932"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2011,"291,186,527"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2012,"343,608,346"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2013,"461,760,468"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2014,"472,973,574"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2015,"515,316,667"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2016,"440,055,457"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2017,"419,393,186"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2018,"457,325,978"
"0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",2019,"459,384,778"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",1992,"32,520,378"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",1993,"30,858,314"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",1994,"40,391,123"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",1995,"45,248,559"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",1996,"65,563,224"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",1997,"67,485,870"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",1998,"43,957,829"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",1999,"38,866,730"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2000,"40,131,385"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2001,"37,845,521"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2002,"37,803,009"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2003,"33,959,554"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2004,"35,783,976"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2005,"54,833,461"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2006,"58,370,529"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2007,"61,088,833"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2008,"84,457,443"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2009,"94,172,538"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2010,"98,937,835"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2011,"109,669,551"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2012,"138,423,822"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2013,"141,832,014"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2014,"121,954,828"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2015,"87,361,892"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2016,"75,480,780"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2017,"106,695,329"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2018,"98,695,298"
"0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",2019,"91,321,075"
